"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.16.0.58","172.16.0.59","SCTP","70","DATA (TSN=0) "
"2","0.000000266","172.16.0.58","172.16.0.59","SCTP","70","DATA (TSN=0) (retransmission) "
"3","0.000417738","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=0, Arwnd=106496) DATA (TSN=0) "
"4","0.000417884","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=0, Arwnd=106496) DATA (TSN=0) (retransmission) "
"5","0.079987198","Dell_50:03:f5","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.0.113"
"6","0.079987404","Dell_50:03:f5","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.0.113"
"7","0.084587924","172.16.0.113","224.0.0.251","MDNS","78","Standard query 0x0000 ANY AB1-209-R1S7.local, ""QM"" question"
"8","0.084588091","172.16.0.113","224.0.0.251","MDNS","78","Standard query 0x0000 ANY AB1-209-R1S7.local, ""QM"" question"
"9","0.084688451","172.16.0.113","224.0.0.251","MDNS","116","Standard query response 0x0000 AAAA fe80::8a05:be60:de8b:2054 A 172.16.0.113"
"10","0.084688546","172.16.0.113","224.0.0.251","MDNS","116","Standard query response 0x0000 AAAA fe80::8a05:be60:de8b:2054 A 172.16.0.113"
"11","0.204383658","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=0, Arwnd=106496) "
"12","0.204383924","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=0, Arwnd=106496) "
"13","0.249212086","172.16.0.59","172.16.0.58","SCTP","74","DATA (TSN=0) "
"14","0.249212375","172.16.0.59","172.16.0.58","SCTP","74","DATA (TSN=0) (retransmission) "
"15","0.249563200","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=0, Arwnd=106496) DATA (TSN=0) "
"16","0.249563342","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=0, Arwnd=106496) DATA (TSN=0) (retransmission) "
"17","0.379428793","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"18","0.379429077","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"19","0.390506587","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"20","0.390506750","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"21","0.451359521","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=0, Arwnd=106496) "
"22","0.451359820","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=0, Arwnd=106496) "
"23","0.599501173","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"24","0.599501548","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"25","0.643853620","JuniperN_c6:6b:c1","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.10.209"
"26","0.643853896","JuniperN_c6:6b:c1","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.10.209"
"27","0.689303444","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"28","0.689303618","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"29","0.726737514","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
"30","0.726737699","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
